Killeen,138.6,1030,31.0777,97.732,
,,,,,
Syracuse,64.7,2214,43.041,76.1436,20002
,,,,,
McAllen,151.3,940,26.2322,98.2464,9899
,,,,,
Pasadena,59.6,2385,34.1606,118.1396,
,,,,,
Bellevue,86.8,1630,47.5979,122.1565,
,,,,,
Fullerton,58,2425,33.8857,117.928,
,,,,,
Orange,65.8,2136,33.787,117.8613,
,,,,,
Dayton,144.3,974,39.7774,84.1996,21598
,,,,,
Miramar,76.1,1818,25.977,80.3358,
,,,,,
Thornton,92.5,1478,39.9194,104.9428,
,,,,,
West Valley City,91.9,1485,40.6885,112.0118,
,,,,,
Olathe,157.7,859,38.8843,94.8195,
,,,,,
Hampton,133.4,1015,37.048,76.2971,
,,,,,
Warren,89.1,1517,42.4929,83.025,
,,,,,
Midland,192.7,698,32.0246,102.1135,
,,,,,
Waco,230.5,580,31.5601,97.186,
,,,,,
Charleston,282.3,476,32.8179,79.959,19772
,,,,,
Columbia,345.8,388,34.0291,80.898,20902
,,,,,
Denton,241.9,553,33.2166,97.1414,
,,,,,
Carrollton,94,1419,32.9884,96.8998,
,,,,,
Surprise,279.5,470,33.6706,112.4527,
,,,,,
Roseville,111.4,1191,38.769,121.3189,
,,,,,
Sterling Heights,94.5,1401,42.5812,83.0303,
,,,,,
Murfreesboro,144.8,910,35.8522,86.416,
,,,,,
Gainesville,161.4,815,29.6788,82.3461,
,,,,,
Cedar Rapids,183.4,715,41.967,91.6778,
,,,,,
Visalia,97.1,1349,36.3273,119.3289,
,,,,,
Coral Springs,61.6,2110,26.2707,80.2593,
,,,,,
New Haven,48.4,2683,41.3108,72.925,22970
,,,,,
Stamford,97.4,1326,41.0799,73.546,
,,,,,
Thousand Oaks,143,902,34.1933,118.8742,
,,,,,
Concord,79,1630,37.9722,122.0016,
,,,,,
Elizabeth,31.9,4038,40.6664,74.1935,
,,,,,
Lafayette,139.3,916,30.2074,92.0285,
,,,,,
Kent,87.3,1461,47.388,122.2127,
,,,,,
Topeka,159.3,796,39.0347,95.6962,
,,,,,
Simi Valley,107.5,1175,34.2669,118.7485,
,,,,,
Santa Clara,47.7,2643,37.3646,121.9679,
,,,,,
Athens,301.5,410,33.9496,83.3701,
,,,,,
Hartford,45.1,2735,41.7659,72.6816,34310
,,,,,
Victorville,189.8,644,34.5277,117.3536,
,,,,,
Abilene,276.4,442,32.4545,99.7381,
,,,,,
Norman,463.1,264,35.2406,97.3453,
,,,,,
Vallejo,79.5,1525,38.1079,122.264,
,,,,,
Berkeley,27.2,4458,37.867,122.2991,
,,,,,
Round Rock,92.2,1311,30.5252,97.666,
,,,,,
Ann Arbor,72.8,1659,42.2761,83.7309,
,,,,,
Fargo,127.7,950,46.8652,96.829,
,,,,,
,,,,,
,,,,,
Allentown,45.3,2657,40.5936,75.4784,21243
,,,,,
Evansville,122.5,975,37.9877,87.5347,
,,,,,
Beaumont,212.6,556,30.0849,94.1453,
,,,,,
Odessa,117.1,1007,31.8838,102.3411,
,,,,,
Wilmington,133.6,880,34.2092,77.8858,
,,,,,
Arvada,100,1175,39.8337,105.1503,
,,,,,
Independence,201.5,581,39.0855,94.3521,
,,,,,
Provo,108,1082,40.2453,111.6448,15557
,,,,,
Lansing,101.3,1146,42.7143,84.5593,
,,,,,
El Monte,24.9,4658,34.0746,118.0291,
,,,,,
,,,,,
,,,,,
Fairfield,105.9,1083,38.2593,122.0321,
,,,,,
Clearwater,67.1,1705,27.9789,82.7666,
,,,,,
Peoria,124.8,915,40.7515,89.6174,
,,,,,
,,,,,
,,,,,
Carlsbad,97.6,1167,33.1239,117.2828,
,,,,,
Westminster,82.1,1387,39.8822,105.0644,
,,,,,
West Jordan,83.7,1360,40.6024,112.0008,
,,,,,
Pearland,119.9,947,29.5558,95.3231,
,,,,,
Richardson,74.1,1530,32.9723,96.7081,
,,,,,
Downey,32.1,3527,33.9382,118.1309,
,,,,,
Miami Gardens,47.1,2398,25.9489,80.2436,
,,,,,
Temecula,96.6,1170,33.4931,117.1317,
,,,,,
Costa Mesa,40.7,2775,33.6659,117.9123,
,,,,,
College Station,132.1,849,30.5852,96.2964,
,,,,,
Elgin,96.9,1158,42.0396,88.3217,
,,,,,
Murrieta,87,1283,33.5721,117.1904,
,,,,,
Gresham,60.3,1848,45.5023,122.4416,
,,,,,
High Point,143,778,35.99,79.9905,
,,,,,
Antioch,76.1,1456,37.9791,121.7962,
,,,,,
Inglewood,23.6,4700,33.9561,118.3443,
,,,,,
Cambridge,16.6,6675,42.376,71.1187,
,,,,,
Lowell,35.2,3139,42.639,71.3211,
,,,,,
Manchester,85.7,1289,42.9849,71.4441,
,,,,,
Billings,113.2,975,45.7885,108.5499,
,,,,,
Pueblo,138.8,795,38.2699,104.6123,
,,,,,
Palm Bay,170.2,647,27.9856,80.6626,
,,,,,
Centennial,76.4,1439,39.5906,104.8691,
,,,,,
,,,,,
,,,,,
Ventura,56.5,1941,34.2678,119.2542,
,,,,,
Pompano Beach,62.2,1760,26.2416,80.1339,
,,,,,
North Charleston,190.9,573,32.9178,80.065,
,,,,,
Everett,86.2,1264,47.9566,122.1914,
,,,,,
Waterbury,73.8,1467,41.5585,73.0367,
,,,,,
West Palm Beach,142.7,758,26.7464,80.1251,
,,,,,
Boulder,64.2,1683,40.027,105.2519,22004
,,,,,
West Covina,41.4,2600,34.0559,117.9099,
,,,,,
Broken Arrow,159.8,672,36.0365,95.781,
,,,,,
Clovis,62.7,1700,36.8282,119.6849,
,,,,,
Daly City,19.7,5409,37.7009,122.465,
,,,,,
Lakeland,170.7,624,28.0555,81.9549,18302
,,,,,
Santa Maria,59.1,1800,34.9332,120.4438,
,,,,,
Norwalk,25.1,4226,33.9076,118.0835,
,,,,,
Sandy Springs,97.6,1083,33.9315,84.3687,
,,,,,
Hillsboro,64.7,1624,45.528,122.9357,
,,,,,
Green Bay,117.6,894,44.5207,87.9842,
,,,,,
Tyler,146.6,715,32.3173,95.3059,
,,,,,
Wichita Falls,187,560,33.9067,98.5259,
,,,,,
Lewisville,95.1,1101,33.0466,96.9818,
,,,,,
Burbank,45.1,2318,34.1901,118.3264,
,,,,,
Greeley,123.8,840,40.4153,104.7697,
,,,,,
San Mateo,31.3,3317,37.5603,122.3106,
,,,,,
El Cajon,37.6,2763,32.8017,116.9604,
,,,,,
Jurupa Valley,111.1,932,34.0026,117.4676,
,,,,,
Rialto,57.8,1789,34.1118,117.3883,
,,,,,
Davenport,162.9,630,41.5541,90.604,
,,,,,
League City,132.6,769,29.4901,95.1091,
,,,,,
Edison,78,1309,40.504,74.3494,
,,,,,
Davie,90.4,1127,26.0791,80.285,
,,,,,
Las Cruces,199.2,511,32.3264,106.7897,
,,,,,
South Bend,107.2,949,41.6769,86.269,
,,,,,
Vista,48.4,2099,33.1895,117.2386,
,,,,,
Woodbridge,60.3,1680,40.5607,74.2927,
,,,,,
Renton,60.6,1666,47.4761,122.192,
,,,,,
Lakewood,64,1575,40.0771,74.2004,
,,,,,
San Angelo,155.1,649,31.4411,100.4505,
,,,,,
Clinton,72.8,1380,42.5903,82.917,
